"id","city","zipcode","post","county"
"1","Ada","31214","Laslovo (Szentlászló)","Osječko-baranjska"
"2","Adamovec","10363","Belovar","Grad zagreb"
"3","Adžamovci","35422","Zapolje","Brodsko-posavska"
"4","Alaginci","34000","Požega","Požeško-slavonska"
"5","Alan","53271","Krivi Put","Ličko-senjska"
"6","Aleksinica","53212","Klanac","Ličko-senjska"
"7","Alilovci","34334","Kaptol","Požeško-slavonska"
"8","Aljmaš","31205","Aljmaš","Osječko-baranjska"
"9","Amatovci","34322","Brestovac","Požeško-slavonska"
"10","Andigola","43240","Čazma","Bjelovarsko-bilogorska"
"11","Andraševec","49243","Oroslavje","Krapinsko-zagorska"
"12","Andrijaševci","32271","Rokovci Andrijaševci","Vukovarsko-srijemska"
"13","Andrijevac","31224","Koška","Osječko-baranjska"
"14","Andrilovec","10370","Dugo Selo","Zagrebačka"
"15","Antenal","52466","Novigrad (Cittanova)","Istarska"
"16","Antin","32214","Tordinci","Vukovarsko-srijemska"
"17","Antolovec","48317","Legrad","Koprivničko-križevačka"
"18","Antonci","52446","Nova Vas","Istarska"
"19","Antonci","52440","Poreč (Parenzo)","Istarska"
"20","Antovo","51244","Grižane","Primorsko-goranska"
"21","Antunovac","31216","Antunovac","Osječko-baranjska"
"22","Antunovac","34330","Velika","Požeško-slavonska"
"23","Antunovac","34543","Poljana","Požeško-slavonska"
"24","Anžići","52463","Višnjan (Visignano)","Istarska"
"25","Apatija","42230","Ludbreg","Varaždinska"
"26","Apatovec","48260","Križevci","Koprivničko-križevačka"
"27","Apševci","32246","Lipovac","Vukovarsko-srijemska"
"28","Arapovac","47240","Slunj","Karlovačka"
"29","Arbanija","21224","Slatine","Splitsko-dalmatinska"
"30","Aržano","21246","Aržano","Splitsko-dalmatinska"
"31","Ašikovci","34312","Sesvete (kod Požege)","Požeško-slavonska"
"32","Auguštanovec","10414","Pokupsko","Zagrebačka"
"33","Babići","52464","Kaštelir (Castelliere)","Istarska"
"34","Babići","52470","Umag (Umago)","Istarska"
"35","Babina Greda","32276","Babina Greda","Vukovarsko-srijemska"
"36","Babina Rijeka","44431","Donji Kukuruzari","Sisačko-moslavačka"
"37","Babinac","43232","Berek","Bjelovarsko-bilogorska"
"38","Babinac","43273","Bulinac","Bjelovarsko-bilogorska"
"39","Babindub","23000","Zadar","Zadarska"
"40","Babine Kuće","20226","Goveđari","Dubrovačko-neretvanska"
"41","Babinec","42208","Cestica","Varaždinska"
"42","Babino Polje","20225","Babino Polje","Dubrovačko-neretvanska"
"43","Babotok","43203","Kapela","Bjelovarsko-bilogorska"
"44","Babudri","52463","Višnjan (Visignano)","Istarska"
"45","Bačevac","33411","Gradina","Virovitičko-podravska"
"46","Bačići","51242","Drivenik","Primorsko-goranska"
"47","Bačkovica","43270","Veliki Grđevac","Bjelovarsko-bilogorska"
"48","Bačva","52463","Višnjan (Visignano)","Istarska"
"49","Baćin","44450","Hrvatska Dubica","Sisačko-moslavačka"
"50","Baćin Dol","35404","Cernik","Brodsko-posavska"
"51","Baćina","20340","Ploče","Dubrovačko-neretvanska"
"52","Badanj","22320","Drniš","Šibensko-kninska"
"53","Baderna","52445","Baderna","Istarska"
"54","Badličan","40306","Macinec","Međimurska"
"55","Badljevina","34552","Badljevina","Požeško-slavonska"
"56","Badovinci","47284","Kašt","Karlovačka"
"57","Badžula","20353","Mlinište","Dubrovačko-neretvanska"
"58","Bađinec","10342","Dubrava","Zagrebačka"
"59","Bair","44330","Novska","Sisačko-moslavačka"
"60","Bajagić","21241","Obrovac Sinjski","Splitsko-dalmatinska"
"61","Bajčići","51511","Malinska","Primorsko-goranska"
"62","Bajići","47271","Netretić","Karlovačka"
"63","Bajkini","52447","Vižinada (Visinada)","Istarska"
"64","Bakar","51222","Bakar","Primorsko-goranska"
"65","Bakarac","51261","Bakarac","Primorsko-goranska"
"66","Bakar-dio (Sveti Kuzam)","51223","Škrljevo","Primorsko-goranska"
"67","Bakić","33520","Slatina","Virovitičko-podravska"
"68","Bakovčice","48000","Koprivnica","Koprivničko-križevačka"
"69","Baldaši","52447","Vižinada (Visinada)","Istarska"
"70","Bale","52211","Bale (Valle)","Istarska"
"71","Balići","52341","Žminj","Istarska"
"72","Balići II","52207","Barban","Istarska"
"73","Balinac","44400","Glina","Sisačko-moslavačka"
"74","Balinci","33517","Mikleuš","Virovitičko-podravska"
"75","Baljci","22322","Ružić","Šibensko-kninska"
"76","Bandino Selo","47240","Slunj","Karlovačka"
"77","Banfi","40312","Štrigova","Međimurska"
"78","Baničevec","10347","Rakovec","Zagrebačka"
"79","Banićevac","35404","Cernik","Brodsko-posavska"
"80","Banići","20232","Slano","Dubrovačko-neretvanska"
"81","Banki","52445","Baderna","Istarska"
"82","Bankovci","33513","Zdenci","Virovitičko-podravska"
"83","Bankovci","34000","Požega","Požeško-slavonska"
"84","Banova Jaruga","44321","Banova Jaruga","Sisačko-moslavačka"
"85","Banovci","35254","Bebrina","Brodsko-posavska"
"86","Banovci","32247","Banovci","Vukovarsko-srijemska"
"87","Banovina","51323","Lič","Primorsko-goranska"
"88","Banovo","10340","Vrbovec","Zagrebačka"
"89","Banska Gorica","49215","Tuhelj","Krapinsko-zagorska"
"90","Banska Selnica","47212","Skakavac","Karlovačka"
"91","Banski Kovačevac","47206","Lasinja","Karlovačka"
"92","Banski Moravci","47212","Skakavac","Karlovačka"
"93","Banšćica","49245","Gornja Stubica","Krapinsko-zagorska"
"94","Banj","23263","Ždrelac","Zadarska"
"95","Banja","20344","Komin (Dalma)","Dubrovačko-neretvanska"
"96","Banja","21276","Vrgorac","Splitsko-dalmatinska"
"97","Banje Selo","10382","Donja Zelina","Zagrebačka"
"98","Banjevci","23422","Stankovci","Zadarska"
"99","Banjol","51280","Rab","Primorsko-goranska"
"100","Banjole","52100","Pula (Pola)","Istarska"
"101","Banjsko Selo","47250","Duga Resa","Karlovačka"
"102","Bapče","10410","Velika Gorica","Zagrebačka"
"103","Bapska","32235","Bapska","Vukovarsko-srijemska"
"104","Baranjsko Petrovo Selo","31322","Baranjsko Petrovo Selo","Osječko-baranjska"
"105","Barat","52352","Kanfanar","Istarska"
"106","Barat","52463","Višnjan (Visignano)","Istarska"
"107","Barban","52207","Barban","Istarska"
"108","Barbarići Kravarski","10413","Kravarsko","Zagrebačka"
"109","Barbat na Rabu","51280","Rab","Primorsko-goranska"
"110","Barbići","52220","Labin","Istarska"
"111","Barci","51244","Grižane","Primorsko-goranska"
"112","Baredine","52420","Buzet","Istarska"
"113","Baredine","52460","Buje (Buie)","Istarska"
"114","Baretići","51244","Grižane","Primorsko-goranska"
"115","Barica","43541","Sirač","Bjelovarsko-bilogorska"
"116","Barić Draga","53289","Lukovo Šugarje","Ličko-senjska"
"117","Barići","52463","Višnjan (Visignano)","Istarska"
"118","Barilović","47252","Barilović","Karlovačka"
"119","Barkovići","47201","Draganići","Karlovačka"
"120","Barlabaševec","48268","Gornja Rijeka","Koprivničko-križevačka"
"121","Barlete","53000","Gospić","Ličko-senjska"
"122","Barotul","23262","Pašman","Zadarska"
"123","Barovka","10455","Kostanjevac","Zagrebačka"
"124","Bartići","52220","Labin","Istarska"
"125","Bartolići","52427","Livade (Levade)","Istarska"
"126","Bartolovci","35252","Sibinj","Brodsko-posavska"
"127","Bartolovec","42202","Trnovec Bartolovečki","Varaždinska"
"128","Bartolovići","47264","Tounj","Karlovačka"
"129","Barušići","51511","Malinska","Primorsko-goranska"
"130","Barušići","52420","Buzet","Istarska"
"131","Basara","47245","Rakovica","Karlovačka"
"132","Bast","21320","Baška Voda","Splitsko-dalmatinska"
"133","Bastajski Brđani","43531","Veliki Bastaji","Bjelovarsko-bilogorska"
"134","Bašana","23250","Pag","Zadarska"
"135","Bašanija","52475","Savudrija (Salvore)","Istarska"
"136","Bašarinka","52449","Červar Porat","Istarska"
"137","Baška","51523","Baška","Primorsko-goranska"
"138","Baška Voda","21320","Baška Voda","Splitsko-dalmatinska"
"139","Baške Oštarije","53206","Brušane","Ličko-senjska"
"140","Baškoti","52463","Višnjan (Visignano)","Istarska"
"141","Baštijani","51218","Dražice","Primorsko-goranska"
"142","Bašunje Male","51243","Tribalj","Primorsko-goranska"
"143","Bašunje Vele","51244","Grižane","Primorsko-goranska"
"144","Bater","51251","Ledenice","Primorsko-goranska"
"145","Batina","31306","Batina","Osječko-baranjska"
"146","Batina","44320","Kutina","Sisačko-moslavačka"
"147","Batinova Kosa","44415","Topusko","Sisačko-moslavačka"
"148","Batinske","48361","Kalinovac","Koprivničko-križevačka"
"149","Batinjani","43500","Daruvar","Bjelovarsko-bilogorska"
"150","Batinjani","34550","Pakrac","Požeško-slavonska"
"151","Batinjska Rijeka","43500","Daruvar","Bjelovarsko-bilogorska"
"152","Batlug","52341","Žminj","Istarska"
"153","Batnoga","47222","Cetingrad","Karlovačka"
"154","Batomalj","51523","Baška","Primorsko-goranska"
"155","Batrina","35410","Nova Kapela","Brodsko-posavska"
"156","Baturi","44400","Glina","Sisačko-moslavačka"
"157","Bazgalji","52000","Pazin","Istarska"
"158","Bazli","51307","Prezid","Primorsko-goranska"
"159","Bebrina","35254","Bebrina","Brodsko-posavska"
"160","Beč","47251","Bosiljevo","Karlovačka"
"161","Bečic","35250","Oriovac","Brodsko-posavska"
"162","Bedekovčina","49221","Bedekovčina","Krapinsko-zagorska"
"163","Bedenec","42240","Ivanec","Varaždinska"
"164","Bedenica","10381","Bedenica","Zagrebačka"
"165","Bedenička","43270","Veliki Grđevac","Bjelovarsko-bilogorska"
"166","Bedenik","43273","Bulinac","Bjelovarsko-bilogorska"
